1712697917.303418 {'latitude': 51.211211667, 'longitude': 4.47257}
1712697924.121174 {'latitude': 51.21121, 'longitude': 4.47257}
1712697931.075897 {'latitude': 51.21121, 'longitude': 4.47257}
1712697937.962913 {'latitude': 51.21121, 'longitude': 4.47257}
1712697944.707136 {'latitude': 51.21121, 'longitude': 4.47257}
1712697951.60158 {'latitude': 51.21121, 'longitude': 4.47257}
1712697958.491448 {'latitude': 51.21121, 'longitude': 4.472571667}
1712697965.205479 {'latitude': 51.21121, 'longitude': 4.472571667}
1712697972.26294 {'latitude': 51.21121, 'longitude': 4.472571667}
1712697982.480537 {'latitude': 51.21121, 'longitude': 4.47257}
1712697989.38628 {'latitude': 51.21121, 'longitude': 4.47257}
1712697996.098364 {'latitude': 51.21121, 'longitude': 4.47257}
1712698003.011844 {'latitude': 51.21121, 'longitude': 4.472571667}
1712698009.979116 {'latitude': 51.21121, 'longitude': 4.472571667}
1712698016.821155 {'latitude': 51.21121, 'longitude': 4.47257}
1712698023.872088 {'latitude': 51.21121, 'longitude': 4.47257}
1712698030.469741 {'latitude': 51.21121, 'longitude': 4.47257}
1712698037.327233 {'latitude': 51.211206667, 'longitude': 4.472573333}
1712698044.279601 {'latitude': 51.211206667, 'longitude': 4.472573333}
1712698051.116846 {'latitude': 51.211205, 'longitude': 4.472573333}
1712698056.702069 {'latitude': 51.211205, 'longitude': 4.472575}
1712698063.62317 {'latitude': 51.211206667, 'longitude': 4.472575}
1712698070.26916 {'latitude': 51.211211667, 'longitude': 4.472576667}
1712698077.06705 {'latitude': 51.211216667, 'longitude': 4.47258}
1712698083.890325 {'latitude': 51.211216667, 'longitude': 4.472581667}
1712698090.67694 {'latitude': 51.211215, 'longitude': 4.47258}
1712698097.413816 {'latitude': 51.211216667, 'longitude': 4.472575}
1712698104.289346 {'latitude': 51.211218333, 'longitude': 4.472568333}
1712698111.062457 {'latitude': 51.211216667, 'longitude': 4.472561667}
1712698118.061541 {'latitude': 51.211215, 'longitude': 4.472568333}
1712698124.871112 {'latitude': 51.21121, 'longitude': 4.47258}
1712698131.675866 {'latitude': 51.211201667, 'longitude': 4.472593333}
1712698142.604113 {'latitude': 51.211188333, 'longitude': 4.472615}
1712698149.417646 {'latitude': 51.211188333, 'longitude': 4.472616667}
1712698156.465264 {'latitude': 51.211188333, 'longitude': 4.472615}
1712698163.473265 {'latitude': 51.211188333, 'longitude': 4.472615}
1712698170.181078 {'latitude': 51.211188333, 'longitude': 4.472615}
1712698177.082283 {'latitude': 51.211188333, 'longitude': 4.472615}
1712698183.910119 {'latitude': 51.211188333, 'longitude': 4.472615}
1712698190.67694 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698197.594925 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698204.521473 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698211.32157 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698218.16958 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698225.115512 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698231.893682 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698238.79071 {'latitude': 51.211183333, 'longitude': 4.47262}
1712698245.764128 {'latitude': 51.211178333, 'longitude': 4.472616667}
1712698252.794187 {'latitude': 51.211173333, 'longitude': 4.472615}
1712698259.865945 {'latitude': 51.211168333, 'longitude': 4.47261}
1712698266.922317 {'latitude': 51.21117, 'longitude': 4.472603333}
1712698273.973221 {'latitude': 51.211168333, 'longitude': 4.472601667}
1712698280.971331 {'latitude': 51.211168333, 'longitude': 4.472601667}
1712698288.014417 {'latitude': 51.211168333, 'longitude': 4.472603333}
1712698294.486758 {'latitude': 51.21116, 'longitude': 4.472626667}
1712698299.476558 {'latitude': 51.21116, 'longitude': 4.472635}
1712698306.200251 {'latitude': 51.211166667, 'longitude': 4.472633333}
1712698312.978122 {'latitude': 51.211166667, 'longitude': 4.472633333}
1712698319.805566 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698326.618468 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698333.417169 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698340.32251 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698347.191072 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698354.064628 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698360.979687 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698367.709667 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698374.388378 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698381.29032 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698388.197542 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698394.906736 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698401.819371 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698408.889118 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698415.775285 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698422.581788 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698429.398179 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698436.173004 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698442.784859 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698449.76493 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698460.18679 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698467.005667 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698473.802701 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698480.673116 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698487.530897 {'latitude': 51.211176667, 'longitude': 4.47263}
1712698494.386877 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698501.311509 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698508.111181 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698515.003051 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698521.908854 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698528.707529 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698534.891691 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698540.675844 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698547.492902 {'latitude': 51.211176667, 'longitude': 4.472628333}
1712698554.413322 {'latitude': 51.211176667, 'longitude': 4.472626667}
1712698561.404572 {'latitude': 51.211176667, 'longitude': 4.472626667}
1712698568.189779 {'latitude': 51.211178333, 'longitude': 4.472626667}
1712698575.01303 {'latitude': 51.211178333, 'longitude': 4.472626667}
1712698581.984483 {'latitude': 51.211178333, 'longitude': 4.472626667}
1712698588.79773 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698595.897755 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698602.888985 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698609.914824 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698620.382361 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698627.173457 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698633.976066 {'latitude': 51.211178333, 'longitude': 4.472625}
1712698640.874259 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698647.812493 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698654.676849 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698661.600314 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698668.383559 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698675.407776 {'latitude': 51.211178333, 'longitude': 4.472623333}
1712698682.326014 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698689.213806 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698695.309527 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698701.516515 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698708.333286 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698715.26906 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698722.377398 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698729.193485 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698736.120234 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698742.989563 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698749.873285 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698756.726787 {'latitude': 51.211178333, 'longitude': 4.472621667}
1712698763.680219 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698770.568902 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698781.035118 {'latitude': 51.211178333, 'longitude': 4.47262}
1712698787.941346 {'latitude': 51.211178333, 'longitude': 4.47262}
